Key,Source,Context,Changes,English,Japanese
reqPlayerLevel50,progression,Attribute,,"PlayerLevel 50","プレイヤーレベル50"
reqPlayerLevel60,progression,Attribute,,"PlayerLevel 60","プレイヤーレベル60"
reqPlayerLevel70,progression,Attribute,,"PlayerLevel 70","プレイヤーレベル70"
reqPlayerLevel80,progression,Attribute,,"PlayerLevel 80","プレイヤーレベル80"
reqPlayerLevel90,progression,Attribute,,"PlayerLevel 90","プレイヤーレベル90"
reqPlayerLevel100,progression,Attribute,,"PlayerLevel 100","プレイヤーレベル100"
reqPlayerLevel110,progression,Attribute,,"PlayerLevel 110","プレイヤーレベル110"
reqPlayerLevel120,progression,Attribute,,"PlayerLevel 120","プレイヤーレベル120"
reqPlayerLevel130,progression,Attribute,,"PlayerLevel 130","プレイヤーレベル130"
reqPlayerLevel140,progression,Attribute,,"PlayerLevel 140","プレイヤーレベル140"
reqSpecialSkillsLevel02,progression,Attribute,,"Special 2","特殊レベル2"
reqSpecialSkillsLevel05,progression,Attribute,,"Special 5","特殊レベル5"
reqSpecialSkillsLevel07,progression,Attribute,,"Special 7","特殊レベル7"
reqSpecialSkillsLevel09,progression,Attribute,,"Special 9","特殊レベル9"
reqSpecialSkillsLevel10,progression,Attribute,,"Special 10","特殊レベル10"
attSpecialSkills,progression,Attribute,,"Special","特殊"
attSpecialSkillsName,progression,Attribute,,"Special","特性:特殊"
attSpecialSkillsDesc,progression,Attribute,,"Open special features.","特殊機能を開放"
attSpecial01Desc,progression,Attribute,,"Finder","見出した者"
attSpecial02Desc,progression,Attribute,,"Discoverer","発見者"
attSpecial03Desc,progression,Attribute,,"Liberator","開放者"
attSpecial04Desc,progression,Attribute,,"Researcher","研究者"
attSpecial05Desc,progression,Attribute,,"explorer","探求者"
attSpecial06Desc,progression,Attribute,,"seeker","探究者"
attSpecial07Desc,progression,Attribute,,"Inquirer","専門家"
attSpecial08Desc,progression,Attribute,,"Specialist","革新者"
attSpecial09Desc,progression,Attribute,,"Pathfinder","先導師"
attSpecial10Desc,progression,Attribute,,"Achiever","到達者"
attSpecial01LongDesc,progression,Attribute,,"If you raise the park level above a certain level, you will suffer disadvantages","一定以上パークレベルを上げるとデメリットを受けるでしょう"
perkCriticalRateName,progression,perk,,"Critical attack! (rate)","いざクリティカル！(確率)"
perkCriticalRateDesc,progression,perk,,"New critical attack systems","新しいクリティカル攻撃のシステム"
